q,desc,subscale,reverse,answer_correct,answer_intuitive
1,The ages of Mark and Adam add up to 28 years total. Mark is 20 years older than Adam. How many years old is Adam?,crt,0,4,8
2,"If it takes 10 seconds for 10 printers to print out 10 pages of paper, how many seconds will it take 50 printers to print out 50 pages of paper?",crt,0,10,50
3,"On a loaf of bread, there is a patch of mold. Every day, the patch doubles in size. If it takes 40 days for the patch to cover the entire loaf of bread, how many days would it take for the patch to cover half of the loaf of bread?",crt,0,39,20
4,"If you’re running a race and you pass the person in second place, what place are you in?",crt,0,2,1
5,A farmer had 15 sheep and all but 8 died. How many are left?,crt,0,8,7
6,Emily’s father has three daughters. The first two are named April and May. What is the third daughter’s name?,crt,0,Emily,June
7,"Like all animals, cows need to eat and drink. What do adult cows generally drink?",crt,0,water,milk
8,A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How many dollars does the ball cost?,crt,0,0.05,0.10
9,"If it takes 5 machines 5 minutes to make 5 widgets, how long would it take 100 machines to make 100 widgets?",crt,0,100,5
10,"In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to cover half of the lake?",crt,0,47,24